id,title,avg_rate,geek_rate,num_votes
161936,Pandemic Legacy: Season 1,8.66,8.463,14832
182028,Through the Ages: A New Story of Civilization,8.79,8.296,5729
12333,Twilight Struggle,8.36,8.226,25909
120677,Terra Mystica,8.29,8.151,22075
187645,Star Wars: Rebellion,8.57,8.106,6552
169786,Scythe,8.37,8.064,11052
173346,7 Wonders Duel,8.21,8.025,16797
102794,Caverna: The Cave Farmers,8.20,8.025,15609
3076,Puerto Rico,8.10,7.997,46435
84876,The Castles of Burgundy,8.11,7.995,23379
31260,Agricola,8.07,7.978,46864
25613,Through the Ages: A Story of Civilization,8.11,7.949,15102
96848,Mage Knight Board Game,8.14,7.946,17264
115746,War of the Ring (Second Edition),8.36,7.935,5800
170216,Blood Rage,8.19,7.930,11082
164153,Star Wars: Imperial Assault,8.24,7.925,10113
2651,Power Grid,7.95,7.877,40820
72125,Eclipse,8.03,7.873,19565
167791,Terraforming Mars,8.36,7.861,4933
124742,Android: Netrunner,8.03,7.849,19550
121921,Robinson Crusoe: Adventures on the Cursed Island,8.02,7.842,16593
178900,Codenames,7.95,7.839,25984
35677,Le Havre,7.94,7.821,18497
28720,Brass,8.01,7.817,10392
146508,T.I.M.E Stories,8.09,7.801,8409
126163,Tzolk'in: The Mayan Calendar,7.95,7.801,16806
164928,Orléans,8.07,7.773,7203
175914,Food Chain Magnate,8.28,7.769,4147
122515,Keyflower,7.95,7.764,10960
205059,Mansions of Madness: Second Edition,8.37,7.762,4449
68448,7 Wonders,7.84,7.757,49216
209010,Mechs vs. Minions,8.50,7.744,3112
150376,Dead of Winter: A Crossroads Game,7.90,7.740,21022
171623,The Voyages of Marco Polo,8.01,7.740,8151
18602,Caylus,7.87,7.739,21409
124361,Concordia,7.96,7.734,9061
146021,Eldritch Horror,7.95,7.718,14954
12493,Twilight Imperium (Third Edition),7.92,7.709,14500
163412,Patchwork,7.85,7.701,15819
62219,Dominant Species,7.87,7.699,12518
132531,Roll for the Galaxy,7.87,7.694,12842
93,El Grande,7.81,7.687,17992
28143,Race for the Galaxy,7.77,7.686,33311
157354,Five Tribes,7.84,7.685,15676
40834,Dominion: Intrigue,7.80,7.683,22558
110327,Lords of Waterdeep,7.79,7.679,27503
103885,Star Wars: X-Wing Miniatures Game,7.89,7.678,15984
183394,Viticulture Essential Edition,8.21,7.676,3850
37111,Battlestar Galactica,7.78,7.648,24669
159675,Fields of Arle,8.24,7.628,3151
177736,A Feast for Odin,8.42,7.620,2630
36218,Dominion,7.71,7.618,54020
2511,Sherlock Holmes Consulting Detective,7.85,7.607,8385
102680,Trajan,7.82,7.604,9163
42,Tigris & Euphrates,7.73,7.603,19825
144733,Russian Railroads,7.84,7.602,8339
193738,Great Western Trail,8.30,7.592,2799
155426,Castles of Mad King Ludwig,7.76,7.589,12053
30549,Pandemic,7.67,7.586,59257
104162,Descent: Journeys in the Dark (Second Edition),7.80,7.577,13726
9609,War of the Ring (first edition),7.82,7.572,8852
521,Crokinole,7.80,7.572,7398
128882,The Resistance: Avalon,7.74,7.570,14938
172386,Mombasa,8.03,7.566,4160
73439,Troyes,7.74,7.561,10553
205637,Arkham Horror: The Card Game,8.46,7.559,2798
103343,A Game of Thrones: The Board Game (Second Edition),7.75,7.551,16770
155068,Arcadia Quest,8.03,7.543,4374
34635,Stone Age,7.63,7.540,29253
70149,Ora et Labora,7.80,7.540,7284
161970,Alchemists,7.78,7.540,9007
127023,Kemet,7.77,7.533,8633
146652,Legendary Encounters: An Alien Deck Building Game,7.89,7.531,5907
126042,Nations,7.78,7.527,7740
123260,Suburbia,7.66,7.515,14072
14105,Commands & Colors: Ancients,7.80,7.515,6705
91,Paths of Glory,8.03,7.511,3529
125153,The Gallerist,8.08,7.510,3218
147020,Star Realms,7.65,7.501,17064
17133,Railways of the World,7.71,7.500,9298
21050,Combat Commander: Europe,7.93,7.493,4255
43111,Chaos in the Old World,7.69,7.486,10899
14996,Ticket to Ride: Europe,7.59,7.482,33839
175155,Forbidden Stars,8.08,7.473,3345
27833,Steam,7.69,7.470,7833
39463,Cosmic Encounter,7.61,7.466,17994
9216,Goa,7.65,7.466,9486
128621,Viticulture,7.79,7.457,5634
148949,Istanbul,7.63,7.452,11008
101721,Mage Wars Arena,7.84,7.450,5825
148228,Splendor,7.56,7.449,26961
4098,Age of Steam,7.70,7.447,6626
555,The Princes of Florence,7.60,7.447,12975
146886,La Granja,7.83,7.443,4450
77423,The Lord of the Rings: The Card Game,7.65,7.441,14286
43015,Hansa Teutonica,7.64,7.430,8101
188,Go,7.68,7.424,11201
104006,Village,7.57,7.422,13086
215,Tichu,7.61,7.421,10333
31627,Ticket to Ride: Nordic Countries,7.67,7.420,7717
54043,Jaipur,7.54,7.417,16941
154203,Imperial Settlers,7.60,7.412,11214
234,Hannibal: Rome vs. Carthage,7.83,7.405,4257
129437,Legendary: A Marvel Deck Building Game,7.64,7.395,11737
9209,Ticket to Ride,7.49,7.395,46441
93260,Summoner Wars: Master Set,7.63,7.395,8446
10630,Memoir '44,7.53,7.391,18882
20551,Shogun,7.58,7.390,10222
140620,Lewis & Clark,7.60,7.387,8289
176189,Zombicide: Black Plague,8.00,7.386,3798
22545,Age of Empires III: The Age of Discovery,7.59,7.386,8751
24181,Imperial,7.64,7.384,7104
97207,Dungeon Petz,7.59,7.380,8255
31481,Galaxy Trucker,7.48,7.378,19930
59294,Runewars,7.71,7.377,6282
38453,Space Alert,7.54,7.377,11534
146439,BattleLore (Second Edition),7.94,7.372,3258
12,Ra,7.47,7.356,15074
54998,Cyclades,7.54,7.353,11573
181304,Mysterium,7.55,7.349,10213
127060,Bora Bora,7.61,7.349,6251
19857,Glory to Rome,7.50,7.344,10688
17392,Here I Stand,7.93,7.343,2874
48726,Alien Frontiers,7.50,7.342,11072
7854,YINSH,7.66,7.338,5103
41114,The Resistance,7.44,7.337,24508
822,Carcassonne,7.44,7.335,64539
118048,Targi,7.63,7.332,5625
108745,Seasons,7.47,7.328,13337
92828,Dixit Odyssey,7.54,7.328,9378
77130,Sid Meier's Civilization: The Board Game,7.52,7.324,11079
66589,Navegador,7.59,7.322,5909
119890,Agricola:  All Creatures Big and Small,7.52,7.321,8731
172818,Above and Below,7.70,7.317,4597
421,1830: Railways & Robber Barons,7.81,7.315,3282
27708,1960: The Making of the President,7.56,7.314,6868
1,Die Macher,7.67,7.314,4452
54138,Imperial 2030,7.74,7.313,3854
55690,Kingdom Death: Monster,9.04,7.299,1728
36932,Claustrophobia,7.62,7.296,5424
123123,BattleCON: Devastation of Indines,8.13,7.295,2059
25021,Sekigahara: The Unification of Japan,8.05,7.294,2095
463,Magic: The Gathering,7.43,7.293,22171
176494,Isle of Skye: From Chieftain to King,7.54,7.292,7030
40692,Small World,7.37,7.288,41517
15985,Blood Bowl: Living Rulebook,7.87,7.287,2956
3,Samurai,7.44,7.287,11821
155873,Power Grid deluxe: Europe/North America,8.16,7.287,1844
45315,Dungeon Lords,7.46,7.284,10527
760,Battle Line,7.42,7.276,11945
39856,Dixit,7.37,7.276,29625
59959,Letters from Whitechapel,7.49,7.273,8514
40765,Clash of Cultures,7.71,7.272,3791
124708,Mice and Mystics,7.49,7.270,10252
136888,Bruges,7.50,7.262,6739
163745,Star Wars: Armada,8.02,7.261,2457
243,Advanced Squad Leader,7.92,7.261,2885
181279,Fury of Dracula (third edition),7.74,7.259,3607
33160,Endeavor,7.46,7.257,7930
182874,Grand Austria Hotel,7.77,7.254,3172
25292,Merchants & Marauders,7.45,7.253,9315
37046,Ghost Stories,7.39,7.252,13679
105134,Risk Legacy,7.59,7.246,5242
129622,Love Letter,7.33,7.245,33968
63628,The Manhattan Project,7.49,7.242,6421
54625,Space Hulk (third edition),7.57,7.240,5762
25554,Notre Dame,7.40,7.235,9751
2655,Hive,7.34,7.232,19364
121,Dune,7.61,7.232,4500
82222,Xia: Legends of a Drift System,7.83,7.232,3015
176920,Mission: Red Planet (second edition),7.68,7.230,3509
31594,In the Year of the Dragon,7.42,7.230,8111
